-2.00	-0.50	0.01	0.00
-1.90	-0.50	0.01	0.00
-1.80	-0.50	0.01	0.00
-1.69	-0.50	0.01	0.00
-1.58	-0.50	0.01	0.00
-1.48	-0.50	0.01	0.00
-1.37	-0.50	0.01	0.00
-1.27	-0.50	0.01	0.00
-1.15	-0.50	0.01	0.00
-1.05	-0.51	0.01	-12.84
-0.95	-0.55	0.01	-31.54
-0.87	-0.62	0.01	-47.90
-0.81	-0.71	0.01	-62.52
-0.76	-0.80	0.01	-62.52
-0.71	-0.90	0.01	-62.52
-0.65	-1.01	0.01	-62.52
-0.61	-1.10	0.01	-62.52
-0.56	-1.20	0.01	-62.52
-0.51	-1.29	0.01	-62.52
-0.46	-1.39	0.01	-62.21
-0.40	-1.47	0.01	-51.04
-0.32	-1.55	0.01	-40.81
-0.24	-1.61	0.01	-34.38
-0.14	-1.67	0.01	-20.47
-0.05	-1.69	0.01	-7.61
0.07	-1.69	0.01	6.80
0.17	-1.67	0.01	13.53
0.27	-1.64	0.01	20.74
0.38	-1.59	0.01	28.33
0.47	-1.54	0.01	37.38
0.55	-1.46	0.01	51.79
0.60	-1.37	0.01	64.65
0.63	-1.27	0.01	77.78
0.66	-1.17	0.01	78.10
0.68	-1.06	0.01	78.10
0.70	-0.96	0.01	78.10
0.72	-0.85	0.01	77.79
0.75	-0.75	0.01	71.59
0.77	-0.65	0.01	86.84
0.76	-0.54	0.01	106.71
0.71	-0.45	0.01	127.11
0.65	-0.37	0.01	134.39
0.57	-0.29	0.01	134.39
0.50	-0.21	0.01	123.11
0.45	-0.11	0.01	108.70
0.43	-0.01	0.01	95.84
0.43	0.10	0.01	92.90
0.42	0.20	0.01	92.90
0.42	0.31	0.01	92.90
0.41	0.41	0.01	101.26
0.37	0.52	0.01	119.47
0.29	0.61	0.01	142.84
0.18	0.66	0.01	166.21
0.08	0.67	0.01	174.90
-0.03	0.68	0.01	174.90
-0.13	0.69	0.01	174.90
-0.25	0.71	0.01	169.86
-0.34	0.73	0.01	157.00
-0.44	0.79	0.01	142.58
-0.51	0.86	0.01	129.73
-0.57	0.96	0.01	115.32
-0.61	1.05	0.01	102.46
-0.62	1.17	0.01	88.36
-0.61	1.27	0.01	87.26
-0.61	1.38	0.01	95.42
-0.63	1.48	0.01	108.27
-0.68	1.58	0.01	123.74
-0.77	1.66	0.01	147.12
-0.88	1.71	0.01	170.49
-0.98	1.71	0.01	179.85
-1.09	1.71	0.01	-172.94
-1.19	1.69	0.01	-166.51
-1.30	1.66	0.01	-159.31
-1.39	1.62	0.01	-152.88
-1.49	1.56	0.01	-146.92
-1.57	1.50	0.01	-146.93
-1.67	1.45	0.01	-155.96
-1.76	1.40	0.01	-142.28
-1.83	1.32	0.01	-120.67
-1.87	1.22	0.01	-100.80
-1.88	1.11	0.01	-87.74
-1.87	1.01	0.01	-84.91
-1.86	0.90	0.01	-84.91
-1.85	0.80	0.01	-84.91
-1.84	0.69	0.01	-84.91
-1.83	0.59	0.01	-84.91
-1.82	0.47	0.01	-84.91
-1.81	0.36	0.01	-84.91
-1.80	0.26	0.01	-84.91
